plants,operator,nrg_bal,siec,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
CHP,PRR_AUTO,GEP,CF,GWH,AT	4572.468 	4540.796 	4158.736 	4005.282 	4453.076 	4689.729 	5125.643 	4840.450 	4119.446 	4427.100 	4421.132 	4241.293 	3841.806 	3682.000 	4124.000 	4632.000 	3935.000 	3137.000 	2794.000 	2542.000 	2722.000 	2396.000 	3699.000 	3618.000 	3311.000 	4037.000 	3888.000 	3025.000 
CHP,PRR_AUTO,GEP,CF,GWH,BE	7570.800 	6826.000 	6500.000 	6431.000 	5945.000 	5894.000 	5368.000 	4431.000 	3484.000 	2475.000 	1674.000 	1341.000 	1407.000 	1408.000 	1226.000 	1188.000 	1329.000 	1421.000 	85.000 	98.000 	96.000 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,GEP,CF,GWH,BG	530.261 	399.000 	360.000 	233.000 	251.000 	255.000 	124.000 	228.000 	189.000 	847.000 	1790.000 	1580.000 	1481.000 	1525.000 	1937.000 	1425.000 	1711.000 	1845.000 	2130.000 	2226.000 	2263.000 	2820.000 	2824.000 	2917.000 	3122.000 	3708.000 	2995.000 	3882.000 
CHP,PRR_AUTO,GEP,CF,GWH,CY	40.524 	38.000 	37.000 	38.000 	45.000 	49.000 	50.000 	66.000 	69.000 	65.000 	65.000 	32.000 	28.000 	24.000 	8.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,GEP,CF,GWH,CZ	8395.537 	8738.000 	8566.000 	8441.000 	7956.000 	7334.000 	7260.000 	7533.000 	7708.000 	8397.000 	7971.000 	8925.000 	8888.000 	8614.000 	8299.000 	8206.000 	8642.000 	9190.000 	6487.000 	6567.000 	6506.000 	6415.000 	5635.000 	5706.000 	6147.000 	6396.000 	6426.000 	6627.000 
CHP,PRR_AUTO,GEP,CF,GWH,DE	39015.000 	37139.000 	34845.000 	31150.000 	30456.000 	29813.000 	29819.000 	31182.000 	27765.000 	27011.000 	26589.000 	26257.000 	25913.000 	23646.000 	24331.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,GEP,CF,GWH,DK	2088.154 	2030.105 	2181.918 	2006.000 	1909.000 	1940.000 	2144.000 	2277.000 	2096.000 	2293.000 	2357.000 	2584.000 	2874.000 	2725.000 	2744.000 	2653.000 	2640.000 	2787.000 	2661.000 	2196.000 	1880.000 	1669.000 	1209.000 	984.000 	804.000 	743.000 	630.000 	581.000 
CHP,PRR_AUTO,GEP,CF,GWH,EA19	155463.834 	146647.218 	145086.449 	134252.103 	142715.518 	141942.984 	147969.936 	141672.939 	131063.962 	135694.571 	132937.932 	128180.872 	126834.617 	122827.598 	121102.871 	79669.809 	74090.399 	70319.549 	113499.000 	103029.000 	94988.000 	76925.000 	70477.000 	66296.000 	57497.000 	55468.000 	50818.000 	49141.000 
CHP,PRR_AUTO,GEP,CF,GWH,EE	53.316 	54.000 	32.000 	42.000 	70.000 	77.000 	88.000 	89.000 	74.000 	95.000 	128.000 	111.000 	115.000 	132.000 	150.000 	171.000 	123.000 	106.000 	67.000 	96.000 	117.000 	171.000 	161.000 	127.000 	39.000 	70.000 	136.000 	154.000 
CHP,PRR_AUTO,GEP,CF,GWH,EL	1909.845 	1946.000 	2339.000 	1792.000 	1884.000 	2349.000 	2553.000 	2492.000 	1958.000 	1311.000 	898.000 	1003.000 	1062.000 	985.000 	1028.000 	1032.000 	913.000 	1014.000 	925.000 	908.000 	969.000 	896.000 	874.000 	819.000 	845.000 	927.000 	934.000 	875.000 
